bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen57,96007.5,0.0,158976.0,0.0,146110.5,0.0,1575993.5,0.0
gen58,25429275.0,0.0,1301248.0,0.0,1226330.0,0.0,1424360.0,0.0
gen59,81897.0,0.0,214784.0,0.0,275586.0,0.0,1197053.0,0.0
gen60,7495454.5,0.0,2964608.0,0.0,633402.5,0.0,1887241.0,0.0
gen61,46098724.5,0.0,610176.0,0.0,836211.0,0.0,1169169.0,0.0
gen62,200158098.5,0.0,50864640.0,0.0,1943738.0,0.0,5491160.0,0.0
gen63,12624810.5,0.0,7803136.0,0.0,4528936.5,0.0,5739924.5,0.0
gen64,236305.0,0.0,601216.0,0.0,796262.5,0.0,2167765.0,0.0
gen65,4471527.0,0.0,647680.0,0.0,5525.0,0.0,32521.5,0.0
gen66,2534666.0,0.0,2246528.0,0.0,1773867.5,0.0,5503909.5,0.0
gen67,55717855.0,0.0,6153984.0,0.0,3293262.0,0.0,3775076.0,0.0
gen68,348099.5,0.0,141312.0,0.0,150978.0,0.0,1036933.5,0.0
gen69,105701888.0,0.0,5207424.0,0.0,3762496.0,0.0,2250651.5,0.0
gen70,23726040.5,0.0,11495424.0,0.0,6751594.5,0.0,8086397.0,0.0
gen71,50275187.0,0.0,1456000.0,0.0,769665.0,0.0,688996.0,0.0
gen72,3531818.0,0.0,623104.0,0.0,313282.5,0.0,1745828.0,0.0
gen73,11014213.0,0.0,501120.0,0.0,884081.5,0.0,2272521.5,0.0
gen74,195356115.0,0.0,118716288.0,0.0,113626552.0,0.0,73772533.5,0.0
gen75,317166.5,0.0,256.0,0.0,1258.0,0.0,3002048.5,0.0
gen76,603606642.0,0.0,64118272.0,0.0,37423105.5,0.0,27035681.0,0.0
gen77,2702676.5,0.0,609920.0,0.0,141987.0,0.0,2170890.5,0.0
gen78,82233.0,0.0,256.0,0.0,1278.0,0.0,1110356.0,0.0
gen79,124572105.0,0.0,2913408.0,0.0,1605231.5,0.0,1667205.5,0.0
gen80,169516.0,0.0,127360.0,0.0,1326.0,0.0,1617032.0,0.0
gen81,915629942.0,0.0,137341952.0,0.0,14126039.5,0.0,22641084.5,0.0
gen82,25809386.0,0.0,4476032.0,0.0,2152933.5,0.0,2686648.5,0.0
gen83,302118.5,0.0,256.0,0.0,5484.5,0.0,72082.5,0.0
gen84,10740581.0,0.0,1833984.0,0.0,2334716.5,0.0,5755061.5,0.0
gen85,42398.0,0.0,256.0,0.0,1193.0,0.0,605231.0,0.0
gen86,126850617.5,0.0,42211584.0,0.0,32433101.0,0.0,17161720.5,0.0
gen87,1385538.5,0.0,164480.0,0.0,5443.5,0.0,47094.0,0.0
gen88,6291201.0,0.0,1416320.0,0.0,667514.0,0.0,803872.5,0.0
gen89,28848046.5,0.0,920320.0,0.0,561989.0,0.0,481132.0,0.0
gen90,15021468.5,0.0,733696.0,0.0,1252.5,0.0,65345.5,0.0
gen91,11388364.5,0.0,129792.0,0.0,1217.5,0.0,603677.5,0.0
gen92,115468613.0,0.0,17659520.0,0.0,12440728.0,0.0,6707048.5,0.0
gen93,4522986.5,0.0,3568640.0,0.0,2580928.5,0.0,4837963.0,0.0
gen96,113793647.5,0.0,56091008.0,0.0,32464523.5,0.0,27007609.5,0.0
gen97,225436959.5,0.0,32056448.0,0.0,29286683.5,0.0,17193145.0,0.0
gen100,96802176.0,0.0,54218880.0,0.0,42825867.0,0.0,45060098.0,0.0
gen101,46104069.5,0.0,16066304.0,0.0,7715923.0,0.0,8679170.0,0.0
gen102,122733.0,0.0,326656.0,0.0,276448.0,0.0,1202376.0,0.0
gen103,61860529.5,0.0,31525504.0,0.0,21566350.0,0.0,18227583.0,0.0
gen104,404198862.0,0.0,53857152.0,0.0,42777015.5,0.0,27421691.5,0.0
gen105,360736.0,0.0,1014400.0,0.0,1379467.5,0.0,2971857.5,0.0
gen106,25065499.0,0.0,759680.0,0.0,778925.0,0.0,861220.5,0.0
gen107,127263.0,0.0,377088.0,0.0,476795.0,0.0,1480402.0,0.0
gen108,370074793.5,0.0,72938112.0,0.0,26378426.0,0.0,18771693.5,0.0
gen109,530936.0,0.0,989952.0,0.0,883751.5,0.0,2696405.5,0.0
gen111,54431542.0,0.0,5354880.0,0.0,5071861.0,0.0,4135879.0,0.0
gen112,119486507.0,0.0,35726592.0,0.0,15589309.0,0.0,15148283.5,0.0
gen113,82694.0,0.0,297088.0,0.0,277630.5,0.0,2097996.5,0.0
gen114,43131.0,0.0,256.0,0.0,1251.5,0.0,446014.0,0.0
gen115,86127657.5,0.0,45754880.0,0.0,22427503.5,0.0,14265986.0,0.0
